
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1568
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       6712
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10712
  TCP    0.0.0.0:5501           0.0.0.0:0              LISTENING       109556
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       20252
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       6712
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1324
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1132
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2356
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       3840
  TCP    0.0.0.0:49678          0.0.0.0:0              LISTENING       5020
  TCP    0.0.0.0:49753          0.0.0.0:0              LISTENING       1236
  TCP    127.0.0.1:1042         0.0.0.0:0              LISTENING       17368
  TCP    127.0.0.1:1042         127.0.0.1:58788        ESTABLISHED     17368
  TCP    127.0.0.1:1042         127.0.0.1:58789        ESTABLISHED     17368
  TCP    127.0.0.1:1043         0.0.0.0:0              LISTENING       17368
  TCP    127.0.0.1:5501         127.0.0.1:54861        FIN_WAIT_2      109556
  TCP    127.0.0.1:5501         127.0.0.1:65061        ESTABLISHED     109556
  TCP    127.0.0.1:7778         0.0.0.0:0              LISTENING       5532
  TCP    127.0.0.1:9012         0.0.0.0:0              LISTENING       13704
  TCP    127.0.0.1:9012         127.0.0.1:49905        ESTABLISHED     13704
  TCP    127.0.0.1:9013         0.0.0.0:0              LISTENING       13704
  TCP    127.0.0.1:9014         0.0.0.0:0              LISTENING       14320
  TCP    127.0.0.1:13030        0.0.0.0:0              LISTENING       6340
  TCP    127.0.0.1:13030        127.0.0.1:49694        ESTABLISHED     6340
  TCP    127.0.0.1:13031        0.0.0.0:0              LISTENING       5480
  TCP    127.0.0.1:13032        0.0.0.0:0              LISTENING       5480
  TCP    127.0.0.1:22112        0.0.0.0:0              LISTENING       6340
  TCP    127.0.0.1:24830        0.0.0.0:0              LISTENING       5508
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       20252
  TCP    127.0.0.1:27060        127.0.0.1:59674        ESTABLISHED     20252
  TCP    127.0.0.1:27339        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:28390        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:49351        0.0.0.0:0              LISTENING       6424
